[00:42:10] EasyOCR initialized with GPU: NVIDIA GeForce RTX 3050 Laptop GPU
[00:42:10] ================================================================================
[00:42:10] Processing: temp.pdf
[00:42:10] Device: GPU
[00:42:10] ================================================================================
[00:42:15] Extracted 132 pages
[00:42:16] Page 1: SUCCESS - text=0 chars, images=1, final=85 chars
[00:42:16] Page 2: SUCCESS - text=0 chars, images=1, final=179 chars
[00:42:17] Page 3: SUCCESS - text=0 chars, images=1, final=681 chars
[00:42:18] Page 4: SUCCESS - text=0 chars, images=1, final=11 chars
[00:42:18] Page 5: SUCCESS - text=0 chars, images=1, final=740 chars
[00:42:20] Page 6: SUCCESS - text=0 chars, images=1, final=1190 chars
[00:42:21] Page 7: SUCCESS - text=0 chars, images=1, final=792 chars
[00:42:22] Page 8: SUCCESS - text=0 chars, images=1, final=1275 chars
[00:42:23] Page 9: SUCCESS - text=0 chars, images=1, final=895 chars
[00:42:24] Page 10: SUCCESS - text=0 chars, images=1, final=1259 chars
[00:42:24] GPU cache cleared at page 10
[00:42:26] Page 11: SUCCESS - text=0 chars, images=1, final=1117 chars
[00:42:27] Page 12: SUCCESS - text=0 chars, images=1, final=992 chars
[00:42:28] Page 13: SUCCESS - text=0 chars, images=1, final=1180 chars
[00:42:30] Page 14: SUCCESS - text=0 chars, images=1, final=1437 chars
[00:42:31] Page 15: SUCCESS - text=0 chars, images=1, final=1436 chars
[00:42:32] Page 16: SUCCESS - text=0 chars, images=1, final=1143 chars
[00:42:34] Page 17: SUCCESS - text=0 chars, images=1, final=1157 chars
[00:42:35] Page 18: SUCCESS - text=0 chars, images=1, final=1184 chars
[00:42:36] Page 19: SUCCESS - text=0 chars, images=1, final=961 chars
[00:42:37] Page 20: SUCCESS - text=0 chars, images=1, final=930 chars
[00:42:37] GPU cache cleared at page 20
[00:42:39] Page 21: SUCCESS - text=0 chars, images=1, final=1605 chars
[00:42:40] Page 22: SUCCESS - text=0 chars, images=1, final=1103 chars
[00:42:41] Page 23: SUCCESS - text=0 chars, images=1, final=1024 chars
[00:42:43] Page 24: SUCCESS - text=0 chars, images=1, final=1116 chars
[00:42:44] Page 25: SUCCESS - text=0 chars, images=1, final=798 chars
[00:42:45] Page 26: SUCCESS - text=0 chars, images=1, final=1116 chars
[00:42:46] Page 27: SUCCESS - text=0 chars, images=1, final=1160 chars
[00:42:48] Page 28: SUCCESS - text=0 chars, images=1, final=1504 chars
[00:42:49] Page 29: SUCCESS - text=0 chars, images=1, final=727 chars
[00:42:50] Page 30: SUCCESS - text=0 chars, images=1, final=969 chars
[00:42:50] GPU cache cleared at page 30
[00:42:51] Page 31: SUCCESS - text=0 chars, images=1, final=818 chars
[00:42:52] Page 32: SUCCESS - text=0 chars, images=1, final=1013 chars
[00:42:53] Page 33: SUCCESS - text=0 chars, images=1, final=1316 chars
[00:42:55] Page 34: SUCCESS - text=0 chars, images=1, final=941 chars
[00:42:56] Page 35: SUCCESS - text=0 chars, images=1, final=1318 chars
[00:42:58] Page 36: SUCCESS - text=0 chars, images=1, final=1091 chars
[00:42:59] Page 37: SUCCESS - text=0 chars, images=1, final=1227 chars
[00:43:00] Page 38: SUCCESS - text=0 chars, images=1, final=1153 chars
[00:43:01] Page 39: SUCCESS - text=0 chars, images=1, final=1256 chars
[00:43:03] Page 40: SUCCESS - text=0 chars, images=1, final=1249 chars
[00:43:03] GPU cache cleared at page 40
[00:43:04] Page 41: SUCCESS - text=0 chars, images=1, final=1011 chars
[00:43:05] Page 42: SUCCESS - text=0 chars, images=1, final=1325 chars
[00:43:07] Page 43: SUCCESS - text=0 chars, images=1, final=1255 chars
[00:43:08] Page 44: SUCCESS - text=0 chars, images=1, final=1304 chars
[00:43:09] Page 45: SUCCESS - text=0 chars, images=1, final=763 chars
[00:43:10] Page 46: SUCCESS - text=0 chars, images=1, final=1105 chars
[00:43:12] Page 47: SUCCESS - text=0 chars, images=1, final=903 chars
[00:43:13] Page 48: SUCCESS - text=0 chars, images=1, final=1311 chars
[00:43:15] Page 49: SUCCESS - text=0 chars, images=1, final=1480 chars
[00:43:16] Page 50: SUCCESS - text=0 chars, images=1, final=1048 chars
[00:43:16] GPU cache cleared at page 50
[00:43:17] Page 51: SUCCESS - text=0 chars, images=1, final=941 chars
[00:43:18] Page 52: SUCCESS - text=0 chars, images=1, final=1245 chars
[00:43:20] Page 53: SUCCESS - text=0 chars, images=1, final=1016 chars
[00:43:21] Page 54: SUCCESS - text=0 chars, images=1, final=1031 chars
[00:43:22] Page 55: SUCCESS - text=0 chars, images=1, final=885 chars
[00:43:23] Page 56: SUCCESS - text=0 chars, images=1, final=1168 chars
[00:43:24] Page 57: SUCCESS - text=0 chars, images=1, final=1195 chars
[00:43:26] Page 58: SUCCESS - text=0 chars, images=1, final=1137 chars
[00:43:27] Page 59: SUCCESS - text=0 chars, images=1, final=1381 chars
[00:43:28] Page 60: SUCCESS - text=0 chars, images=1, final=1167 chars
[00:43:28] GPU cache cleared at page 60
